Tweet ID	Tweet	English
285903159434563584	volkan konak adami tribe sokar yemin ederim :d	0
285965965118824448	i felt my first flash of violence at some fool who ped into me.... i pity the fool.	1
286057979831275520	ladies drink and get in free till 10:30	1
286216100784521216	watching #miranda on bbc1!!! u r hilarious	1
286525170670243840	all over twitter because you and your friends cant stick up for yourselves.	1
286916662836490241	~ i'm falling apart,with a broken heart,barely breathing.	1
286927073078018048	oh my god, we go way back #lovethis #rahrahrah	1
286927433498759168	the way you treat me. the way you accept me, and love me. how much you care about me. that's what makes you perfect.	1
286941320851890177	i just wanna get pulled on the sled by the four wheeler again!!!!!! #good	1
286949739071672321	oh there's that fake door slam noise , ugh #cbb	1
286958983368036352	cool... wanna see when u get it!	1
287013601330479105	hahaa i never get told to be a post... but i'll most likely guard yaaaa!	1
287043679011631105	vou começar pela melhor metade (8)	0
287056970421268480	i'm in tennessee.. only bears and mountain lions round these parts	1
287083436844412928	can't do right without doing wrong first	1
287272742481432577	and goodluck on that young occupation	1
287304673470337025	ahh okay how old ate you i am 13	1
287311564976037889	": jajajaja bolitaaaaaa!!!! "" siiii!!!"""	0
287388987629395971	"mampir ke bandung sini ajak si cantik : hay mommy. rindu deh kecup dongs dongs rt : aseeek!"""	0
287459359477358592	rangoo???? regalame el reloj mejor xdddddddddd	0
287510915979558913	"yo otw ki : rpp kw kan cah selo "" : lg jrug tkan ngomah iki "" : kw wae le rene pie "" : hoo "" : kad"""	0
287551697151205376	rain es but get my on with at least 3 chicks at york, these hoes are easy game don't change baby haha	1
287581900179128320	# survey 74: if you were a stripper, what would your name be? (trixie or tricktina as a girl - as a boy my name)	1
287610375464165377	rt“ : i feel tttttty, i can't even get off my bed. no srsly i feel rlly sick and ty”	1
287649877515706368	müdürlüğümüzün 2013 yılında hayata geçireceği projeler üzerinde ki çalışmalar sona yaklaşıldı.	0
287751454964465664	i'm just gone continue doing what i want to.	1
287774901190918144	": even me!!! "" are you at the party"""	1
287908359716339712	и повторится все как в старь... (@ обуховский завод) [pic]:	0
288024504205185024	i'm at vegyes élelmiszer (budapest)	1
288057328702476288	drinking a mama's little yella pils by @ thunderdome —	1
288087662072582144	8:00 pm @ harrah's las vegas $80 nl hold'em poker tournament w/ $20 bounties	1
288101830326632448	: you can have them lololololololol (x	1
288152195713613824	hauahsususuusu eita povo brasileiro bacana ahsuauauahah	0
288413714514845697	mejor no le digo nada, si lo hago voy a parecer su mamá e igual no me hara casó.	0
288472988402196481	yeah saqouit fans i aint scared	1
288535076873048064	الله يلعنك انت و افلامك يا عبيد اي والله قران و مافي نوم	0
288591641168736256	8 menit lagii..mari menutup ccos...yupppiii..*peluktas	0
288683878275764224	nossa muito duas garrafas de vodka pura uma agnt teve que da pro policial a outra ja tava vazia hauhauahua	0
288724374163431427	mdrr t'es sur ? demandons a stp haha	0
288793823558127616	el nuevo comercial de suerox es una mamada. jajajaja	0
288799301323329538	it's all about being real and true to yourself. the opposite of real is fake.	1
288813813384503297	bn!! mñn toca dia agetreao pufff!!	0
289042889483374592	rt se los pegare en tu nombre en cualquier momento xd// me parece perfectooooo xd jajajaj	0
289137651527872512	1999 joos dlp-115 through-feed hot veneer press please feel free to make an offer! all offers will be considered...	1
289206446434942977	muy descontrolado sale rolando valdez #yaquisvsalgodoneros	0
289430250310488064	i plugged it in the computer so no	1
289443055742877697	y para acabarla habla súper lento mi compadre ....	0
289545287545020416	": lawwdd it feel like somebody just punchin me in my cat. o. "" see nasty asz"""	1
289555114644082689	don't text it will save u from a headache #jkjkjk #loveyakate	1
289804554265047040	wrm my avond ga iemand anders avond verepesten	0
289811231638966272	o.o mockingjay. sjaj slobode on serbian.	1
289908229125857281	my ears once again hurt so much	1
289911991559155712	ishih! gabi + paula = a confusão... gabi + paula + brenda = corre negada	0
290209090532151298	какая разница, что твориться у меня внутри? главное выгляжу я отлично, а остальное - не имеет значения.	0
290245551948169217	safe to say i teared up more than i do in the average year in one night at les mis #musicgotmegoing #noshame	1
290279697508610048	jinki, do you know that she has p ed on?	1
290341060100648961	"maaf sayangg aku ga brmaksud menigakan dikau rt : tuh kan ak disingkirkan gr orng ketiga rt : """	0
290443548040519680	"n ⌒ n n / n (/ ) n / n f i n | | n | | n n l n (_(_( l ) """	0
290474212597063682	miss u yankk :* smoga terlaksana yee, aamien	0
290581544727359488	ff een paar bladzijden lezen dan hopen de ik slaperig en mijn oogjes dicht vallen	0
290633847740186626	your ex is a cry baby. he dont wanna talk to me.	1
290665397542322176	osheee so se for agora, nele? tuuuudo kkkkkkk	0
290841155606806528	ahwwww lukey, your profile picture is so adorable!	1
290891340303187969	después de correr con una buena merienda para coger fuerzas jaja	0
290946147235819520	como va el embarazo? en que semana estas??	0
291188146245357568	my baby is completely frozen no way i can drive this no time soon	1
291219372830232576	jaja een spoedje apeldoor. beetje druk (@ a1) [pic]:	0
291323915832274944	pequena no tamanho e cada vez maior nas suas conquistas. só orgulho!! aguarde sabado a comemoração será ao nosso estilo hahaha	0
291402995080523776	well instead of scaring her you scared me	1
291413199692132352	everything i don't want to happen is happening. smh i hate my life right now .!	1
291421357613404160	y tu el aire que me levanta que me da fuerza para este amor #tuamormehacetantobien..	0
291589994135568385	linea giovane per la juve. e' fatta per la stella del s uolo #calciomercato #juve	0
291675016586735618	"how the does liam payne tweet dark "" and get 34,9k retweets and 24,k favorites wat"""	1
291695539513352193	its funny because in every situation we go threw your aloud to tell ur best friend but i can't. #toobad #goingtoanyways	1
291770453788352512	i am not a godly person, or a religious one for that matter. mostly because i'm logical and i grew out of pretending. just sayin.	1
291833162856792064	happy birthday to a handsome guy name xp	1
291965279481778176	gent en menos personalitat que..ay no,que tu eres el exemple	0
291975072980299776	ughh needs to hurry the up and get outta work!!	1
291985818694864896	#cancionesquesonperfectas uno de mis temas favoritos de placebo, no podria ser mejor este tema, la letra lo dice todo.	0
292002864409243648	ufff que mal lo he paasado. #muyfuertetodo	0
292103939044827137	okay good ! please come ! and no. i don't talk to her nor joselin . yes ! sa ay, sunday, monday &amp; tuesday ! (x	1
292105390039121920	sadly this bose docking station has not arrived and i am most annoyed. i want this item replaced asap.	1
292149480554393600	catfish need some hood ppl though... that would be funny	1
292190828217118720	finally bedtime. goood freaking niighhtt!	1
292203654428123136	i did the bpm because i mix quickly so i can pitch them up for quick inmixing	1
292322407551729664	aww, how cute is that - you can text every other er in this world but not me #shocking	1
292625685166555137	"minta sampai angka habis :p : (۳ ˚д˚)۳ minta lo berapaaaa "" : dikit amat -_- "" :"""	0
292655015997341697	escuchar el repique que toca el boli se me eriza la piel	0
292677841064165378	yang sabar boy...smoga banjir nya cpt surut ya...mobil gw jg masih kejebak di plo dari tnggal 15...	0
292739527003480066	to mal, preocupado, com raiva, triste...	0
292837572831477760	i wish you would just text me this once.	1
292893327907495936	nooooooossa!!! a garota acabou de lamber dentro da minha orelha!!!	0
